Reference,Value,Footprint,Manufacturer,MPN,LCSC,Quantity,Parameters,Catalog_URL
R11,100,R:0402,YAGEO,RC0402FR-07100RL,C106232,1,RES 100Ω ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C106232.html
R12,100,R:0402,YAGEO,RC0402FR-07100RL,C106232,1,RES 100Ω ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C106232.html
R13,47,R:0402,UNI-ROYAL,0402WGF470JTCE,C25118,1,RES 47Ω ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25118.html
R14,100,R:0402,YAGEO,RC0402FR-07100RL,C106232,1,RES 100Ω ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C106232.html
R15,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1,RES 100kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25741.html
R16,10k,R:0402,UNI-ROYAL,0402WGF1002TCE,C25744,1,RES 10kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25744.html
R17,4.7k,R:0402,UNI-ROYAL,0402WGF4701TCE,C25900,1,RES 4.7kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25900.html
R18,200,R:0402,UNI-ROYAL,0402WGF2000TCE,C25087,1,RES 200Ω ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25087.html
R19,10k,R:0402,UNI-ROYAL,0402WGF1002TCE,C25744,1,RES 10kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25744.html
R2,10k,R:0402,UNI-ROYAL,0402WGF1002TCE,C25744,1,RES 10kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25744.html
R20,6.2k,R:0402,UNI-ROYAL,0402WGF6201TCE,C25915,1,RES 6.2kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25915.html
R27,10k,R:0402,UNI-ROYAL,0402WGF1002TCE,C25744,1,RES 10kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25744.html
R28,10k,R:0402,UNI-ROYAL,0402WGF1002TCE,C25744,1,RES 10kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25744.html
R29,110k,R:0402,UNI-ROYAL,0402WGF1103TCE,C25745,1,RES 110kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25745.html
R3,10k,R:0402,UNI-ROYAL,0402WGF1002TCE,C25744,1,RES 10kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25744.html
R4,10k,R:0402,UNI-ROYAL,0402WGF1002TCE,C25744,1,RES 10kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25744.html
R5,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1,RES 100kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25741.html
R6,4.7k,R:0402,UNI-ROYAL,0402WGF4701TCE,C25900,1,RES 4.7kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25900.html
R7,4.7k,R:0402,UNI-ROYAL,0402WGF4701TCE,C25900,1,RES 4.7kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25900.html
R8,22,R:0402,UNI-ROYAL,0402WGF220JTCE,C25092,1,RES 22Ω ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25092.html
R9,22,R:0402,UNI-ROYAL,0402WGF220JTCE,C25092,1,RES 22Ω ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25092.html
